The intermediate results:
Round 0: 64456,0,0,7
Round 1: 128900,0,0,26
Round 2: 193341,0,0,47
Round 3: 257774,8,34,42
Round 4: 322265,2,4,43

The clustering results:
0,9
1,3
2,0
3,5
4,4
5,4
6,7
7,1
8,4
9,4
10,9
11,4
12,9
13,1
14,5
15,0
16,9
17,4
18,8
19,5
20,6
21,6
22,5
23,4
24,9
25,7
26,6
27,1
28,3
29,8
30,0
31,8
32,1
33,1
34,3
35,5
36,8
37,3
38,4
39,0
40,0
41,0
42,7
43,6
44,0
45,4
46,5
47,4
48,7
49,7
50,1
51,8
52,5
53,9
54,1
55,2
56,8
57,4
58,1
59,4
60,1
61,5
62,8
63,5
64,0
65,2
66,5
67,3
68,3
69,4
70,6
71,2
72,3
73,1
74,2
75,4
76,4
77,4
78,1
79,1
80,6
81,1
82,3
83,0
84,5
85,1
86,8
87,5
88,6
89,2
90,4
91,9
92,6
93,7
94,6
95,6
96,8
97,6
98,0
99,0
100,4
101,8
102,5
103,1
104,1
105,5
106,5
107,4
108,3
109,1
110,3
111,0
112,3
113,7
114,1
115,1
116,8
117,3
118,5
119,9
120,2
121,4
122,3
123,8
124,7
125,3
126,8
127,3
128,4
129,5
130,0
131,1
132,4
133,5
134,4
135,7
136,1
137,1
138,1
139,7
140,0
141,5
142,0
143,7
144,3
145,8
146,3
147,9
148,1
149,5
150,6
151,4
152,1
153,1
154,1
155,1
156,0
157,3
158,0
159,1
160,6
161,2
162,2
163,2
164,1
165,3
166,8
167,6
168,4
169,4
170,8
171,7
172,0
173,4
174,8
175,7
176,3
177,8
178,9
179,6
180,9
181,7
182,6
183,7
184,0
185,2
186,1
187,3
188,7
189,5
190,0
191,9
192,1
193,3
194,0
195,0
196,6
197,7
198,4
199,9
200,8
201,8
202,8
203,8
204,2
205,4
206,9
207,7
208,4
209,5
210,2
211,7
212,6
213,9
214,9
215,3
216,9
217,4
218,1
219,0
220,8
221,8
222,9
223,9
224,8
225,8
226,3
227,6
228,7
229,8
230,9
231,3
232,9
233,1
234,4
235,4
236,1
237,5
238,5
239,3
240,1
241,6
242,9
243,5
244,4
245,3
246,5
247,5
248,4
249,4
250,6
251,4
252,3
253,1
254,0
255,3
256,8
257,4
258,3
259,0
260,1
261,2
262,5
263,1
264,7
265,2
266,8
267,5
268,4
269,4
270,7
271,4
272,6
273,2
274,7
275,6
276,4
277,1
278,0
279,3
280,0
281,0
282,7
283,5
284,3
285,6
286,1
287,4
288,8
289,4
290,7
291,6
292,5
293,2
294,8
295,7
296,5
297,8
298,5
299,3
300,5
301,2
302,0
303,0
304,2
305,3
306,0
307,6
308,7
309,7
310,5
311,1
312,6
313,4
314,4
315,3
316,0
317,5
318,8
319,6
320,0
321,9
322,2
323,8
324,8
325,7
326,3
327,2
328,1
329,6
330,6
331,5
332,0
333,1
334,7
335,0
336,5
337,3
338,8
339,7
340,8
341,2
342,8
343,2
344,2
345,3
346,4
347,5
348,5
349,7
350,5
351,1
352,5
353,7
354,8
355,2
356,3
357,5
358,2
359,2
360,4
361,7
362,0
363,4
364,7
365,4
366,7
367,3
368,1
369,4
370,2
371,5
372,8
373,1
374,4
375,3
376,6
377,2
378,9
379,4
380,6
381,5
382,7
383,3
384,0
385,3
386,2
387,8
388,1
389,4
390,1
391,4
392,0
393,7
394,8
395,1
396,8
397,0
398,7
399,7
400,1
401,4
402,0
403,7
404,5
405,2
406,4
407,6
408,3
409,1
410,8
411,0
412,4
413,4
414,6
415,8
416,1
417,2
418,8
419,2
420,1
421,3
422,4
423,9
424,3
425,4
426,4
427,9
428,9
429,7
430,0
431,9
432,5
433,0
434,5
435,0
436,9
437,0
438,5
439,2
440,3
441,8
442,4
443,8
444,9
445,7
446,2
447,3
448,9
449,5
450,8
451,6
452,6
453,1
454,0
455,3
456,5
457,5
458,3
459,6
460,3
461,7
462,0
463,9
464,1
465,0
466,9
467,7
468,2
469,7
470,6
471,5
472,9
473,4
474,5
475,7
476,4
477,0
478,0
479,1
480,1
481,1
482,3
483,5
484,5
485,0
486,1
487,6
488,5
489,3
490,6
491,0
492,1
493,6
494,4
495,7
496,5
497,3
498,0
499,9
500,8
501,1
502,7
503,1
504,8
505,9
506,2
